index,rotation_x,rotation_y,rotation_z,initial_rot_x,initial_rot_y,initial_rot_z,finished,path
0,-75.8974358974359,-22.564102564102562,-10.256410256410255,0.0,0.0,0.0,False,
1,-75.8974358974359,-22.564102564102562,-6.153846153846159,0.0,0.0,0.0,False,
2,-75.8974358974359,-22.564102564102562,-2.051282051282053,0.0,0.0,0.0,False,
3,-75.8974358974359,-22.564102564102562,2.051282051282044,0.0,0.0,0.0,False,
4,-75.8974358974359,-22.564102564102562,6.15384615384615,0.0,0.0,0.0,False,
5,-75.8974358974359,-22.564102564102562,10.256410256410255,0.0,0.0,0.0,False,
6,-71.7948717948718,-22.564102564102562,-10.256410256410255,0.0,0.0,0.0,False,
7,-71.7948717948718,-22.564102564102562,-6.153846153846159,0.0,0.0,0.0,False,
8,-71.7948717948718,-22.564102564102562,-2.051282051282053,0.0,0.0,0.0,False,
9,-71.7948717948718,-22.564102564102562,2.051282051282044,0.0,0.0,0.0,False,
10,-71.7948717948718,-22.564102564102562,6.15384615384615,0.0,0.0,0.0,False,
11,-71.7948717948718,-22.564102564102562,10.256410256410255,0.0,0.0,0.0,False,
12,-67.6923076923077,-22.564102564102562,-6.153846153846159,0.0,0.0,0.0,False,
13,-67.6923076923077,-22.564102564102562,-2.051282051282053,0.0,0.0,0.0,False,
14,-67.6923076923077,-22.564102564102562,2.051282051282044,0.0,0.0,0.0,False,
15,-67.6923076923077,-22.564102564102562,6.15384615384615,0.0,0.0,0.0,False,
16,-63.58974358974359,-22.564102564102562,-2.051282051282053,0.0,0.0,0.0,False,
17,-63.58974358974359,-22.564102564102562,2.051282051282044,0.0,0.0,0.0,False,
18,63.58974358974358,-22.564102564102562,-2.051282051282053,0.0,0.0,0.0,False,
19,63.58974358974358,-22.564102564102562,2.051282051282044,0.0,0.0,0.0,False,
20,67.69230769230768,-22.564102564102562,-6.153846153846159,0.0,0.0,0.0,False,
21,67.69230769230768,-22.564102564102562,-2.051282051282053,0.0,0.0,0.0,False,
22,67.69230769230768,-22.564102564102562,2.051282051282044,0.0,0.0,0.0,False,
23,67.69230769230768,-22.564102564102562,6.15384615384615,0.0,0.0,0.0,False,
24,71.7948717948718,-22.564102564102562,-10.256410256410255,0.0,0.0,0.0,False,
25,71.7948717948718,-22.564102564102562,-6.153846153846159,0.0,0.0,0.0,False,
26,71.7948717948718,-22.564102564102562,-2.051282051282053,0.0,0.0,0.0,False,
27,71.7948717948718,-22.564102564102562,2.051282051282044,0.0,0.0,0.0,False,
28,71.7948717948718,-22.564102564102562,6.15384615384615,0.0,0.0,0.0,False,
29,71.7948717948718,-22.564102564102562,10.256410256410255,0.0,0.0,0.0,False,
30,75.8974358974359,-22.564102564102562,-10.256410256410255,0.0,0.0,0.0,False,
31,75.8974358974359,-22.564102564102562,-6.153846153846159,0.0,0.0,0.0,False,
32,75.8974358974359,-22.564102564102562,-2.051282051282053,0.0,0.0,0.0,False,
33,75.8974358974359,-22.564102564102562,2.051282051282044,0.0,0.0,0.0,False,
