spin,sidespin,Index,MAE,spin_x,spin_y,spin_z,rps
7,-4,1,0.565046527416868,-52.25424365,-150.0686183,-816.70360106,132.419960679613
7,-3,2,0.133219549382876,-28.22854483,-110.08820848,-807.93259032,129.852423512192
7,-2,3,0.216550113763442,-18.10033937,-106.62997743,-822.53555433,132.037449384641
7,-1,4,0.07378891674925,-20.10946124,-103.60319677,-834.42163215,133.860327646334
7,0,5,0.15442707146424,54.01298852,-76.77936836,-810.15505512,129.802900728785
7,1,6,0.154330962718131,45.66816007,-59.34798177,-843.45143677,134.767504956035
7,2,7,0.0802118996062774,59.38433837,-33.33541963,-833.97431394,133.172931314584
7,3,8,0.150196663394065,51.95403611,-65.8926561,-819.08730107,131.044073706349
7,4,9,0.0634352367237748,108.14909538,10.90907139,-792.47191191,127.306741283678
-1,-5,0,0.0683851551708757,-299.25489401,-148.62289228,106.94921154,55.8360339566927
-1,-4,1,0.102089578736768,-265.57305003,-126.07385352,103.07039524,49.5805756139239
-1,-3,2,0.0885847992986116,-215.56989225,-88.24434347,114.6417377,41.3190787201971
-1,-2,3,0.0361064889495747,-167.66440062,-68.13834548,110.3251596,33.7340254296646
-1,-1,4,0.315973825960655,-93.91895115,-36.17322165,128.19376949,25.939284280516
-1,0,5,0.0622581375793664,-12.86267686,14.51944586,129.13254978,20.7826607515201
-1,1,6,0.038989716726299,67.04891022,56.5251661,121.88782902,23.898318341552
-1,2,7,0.333423303485181,142.06753401,95.24578749,99.07634686,31.4592066434256
-1,3,8,0.0367022954858794,172.99782683,118.81265176,156.25950332,41.6431962681497
-1,4,9,0.0614820523711055,231.18951052,150.71912232,160.43276314,50.8059661045209
-2,-5,0,0.458929705850583,-338.16784076,-127.134545,223.04864233,67.5746057812383
-2,-4,1,0.0624279295695643,-309.98921757,-133.43546738,222.06547442,64.2976936591213
-2,-3,2,0.0910710278466069,-252.36527119,-99.3962344,219.00113334,55.4830973484884
